IDREGION	RBD	ALUMNOS	DDCIA	RURALIDAD	GRUPO	LEN	MAT	NAT
15	5	17	MD	U	C	271	268	261
15	8	32	MD	U	C	246	252	242
15	38	26	MD	R	A	272	275	259
15	39	2	MD	R	A			
15	45	79	PS	U	D	260	267	260
15	50	41	PS	U	C	289	276	284
15	52	232	PS	U	C	300	308	305
15	56	49	PS	U	D	288	275	285
15	59	42	PP	U	E	311	317	305
15	60	56	PS	U	D	279	271	274
15	67	60	PS	U	D	300	305	306
15	69	32	PP	U	E	295	302	288
15	72	2	MD	R	A			
15	75	2	MD	R	B			
15	76	1	MD	R	C			
15	78	7	MD	R	A	216	225	216
15	79	6	MD	R	A	266	244	231
15	81	1	MD	R	A			
15	83	2	MD	R	A			
15	86	1	MD	R	A			
15	90	3	MD	R	A			
15	91	1	MD	R	A			
15	93	3	MD	R	A			
15	94	1	MD	R	A			
1	103	63	MC	U	C	227	215	220
1	110	7	MC	U	C	267	260	249
1	111	32	MC	U	B	249	228	226
1	112	39	MC	U	B	272	265	
1	113	75	MC	U	B	237	232	225
1	114	30	MC	U	B	241	236	234
1	115	21	MC	U	B	279	241	257
1	116	42	MC	U	B	268	238	224
1	117	33	MC	U	B	223	218	204
1	119	32	MC	U	B	233	220	217
1	120	20	MC	U	B	238	224	223
1	122	28	MC	U	B	241	243	234
1	123	29	MC	U	B	208	201	203
1	125	85	MC	U	C	263	266	261
1	126	70	MC	U	B	226	208	210
1	127	70	PS	U	D	311	296	302
1	129	5	PS	U	C			
1	130	33	PS	U	D	265	260	265
1	131	28	PS	U	C	253	230	249
1	132	104	PS	U	D	294	305	296
1	133	54	PS	U	C	274	281	276
1	134	25	PS	U	C	250	247	253
1	144	30	PS	U	C	231	214	236
1	154	3	MD	R	B			
1	156	2	MD	R	A			
1	160	2	MD	R	A			
1	161	18	MD	R	B	235	194	209
1	162	3	MD	R	A			
1	165	1	MD	R	A			
1	167	10	MD	R	B	285	274	254
1	168	1	MD	R	A			
1	169	2	MD	R	A			
1	170	1	MD	R	A			
1	172	2	MD	R	A			
1	175	2	MD	R	A			
1	177	1	MD	R	B			
1	178	11	MD	R	A	212	212	215
1	179	1	MD	R	A			
1	185	4	MD	R	A			
1	187	30	MD	U	C	230	235	220
1	188	13	MD	R	B	201	210	210
1	192	5	MC	R	C			
1	193	45	MC	R	B	248	225	237
1	195	16	MC	R	B	234	203	217
1	198	3	MC	R	B			
2	201	61	MD	U	C	230	212	208
2	203	60	MD	U	B	243	222	230
2	204	46	MD	U	B	234	205	210
2	205	51	MD	U	B	223	218	221
2	206	21	MD	U	C	249	258	242
2	208	71	PS	U	D	267	250	254
2	210	102	MD	U	C	245	229	250
2	223	55	MC	U	C	255	253	246
2	224	114	MC	U	B	245	222	236
2	225	121	MC	U	C	274	260	263
2	226	145	MC	U	C	240	237	236
2	227	171	MC	U	C	255	251	249
2	228	59	MC	U	C	243	245	242
2	229	67	MC	U	C	243	228	239
2	230	36	MC	U	C	284	270	263
2	231	78	MC	U	C	259	232	248
2	232	34	MC	U	B	242	235	224
2	234	26	MC	U	A	234	222	226
2	239	57	MC	U	B	260	252	237
2	240	69	MC	U	C	250	241	253
2	243	4	MC	R	B			
2	246	3	MC	R	A			
2	252	8	MC	R	B	252	230	223
2	253	70	PS	U	D	256	246	262
2	254	97	PS	U	D	284	269	279
2	255	76	PS	U	C	263	268	247
2	256	122	PS	U	D	287	275	272
2	257	59	PS	U	E	308	314	308
2	268	3	MD	R	A			
