Region;Comuna;Total;Menor de 15; 15 a 19  ; 20 a 34   ;35 y más; Ignorado
De Arica y Parinacota;Arica;3634;8;554;2550;521;1
De Arica y Parinacota;Camarones;1;0;0;1;0;0
De Arica y Parinacota;Putre;3;0;0;3;0;0
De Arica y Parinacota;General Lagos;2;0;0;2;0;0
De Tarapacá;Iquique;3530;14;429;2596;482;9
De Tarapacá;Alto Hospicio;1886;13;347;1290;235;1
De Tarapacá;Pozo Almonte;220;1;32;159;28;0
De Tarapacá;Camiña;17;1;4;9;3;0
De Tarapacá;Colchane;4;0;1;3;0;0
De Tarapacá;Huara;33;0;8;22;1;2
De Tarapacá;Pica;63;0;9;45;7;2
De Antofagasta;Antofagasta;6128;28;994;4284;821;1
De Antofagasta;Mejillones;159;0;34;105;20;0
De Antofagasta;Sierra Gorda;15;1;4;7;3;0
De Antofagasta;Taltal;175;0;39;123;13;0
De Antofagasta;Calama;2893;6;445;2101;339;2
De Antofagasta;Ollagüe;0;0;0;0;0;0
De Antofagasta;San Pedro de Atacama;73;2;9;56;6;0
De Antofagasta;Tocopilla;436;2;103;274;57;0
De Antofagasta;María Elena;53;1;9;36;7;0
De Atacama;Copiapó;2871;14;493;1971;393;0
De Atacama;Caldera;284;2;52;193;37;0
De Atacama;Tierra Amarilla;225;1;51;149;24;0
De Atacama;Chañaral;249;0;51;163;35;0
De Atacama;Diego de Almagro;267;1;36;183;47;0
De Atacama;Vallenar;881;7;166;577;131;0
De Atacama;Alto del Carmen;76;0;16;42;18;0
De Atacama;Freirina;100;0;31;56;13;0
De Atacama;Huasco;163;1;35;111;16;0
De Coquimbo;La Serena;3246;10;496;2219;521;0
De Coquimbo;Coquimbo;3466;20;604;2342;500;0
De Coquimbo;Andacollo;180;0;38;117;25;0
De Coquimbo;La Higuera;68;0;8;51;9;0
De Coquimbo;Paiguano;49;0;10;30;9;0
De Coquimbo;Vicuña;409;0;88;268;53;0
De Coquimbo;Illapel;452;1;83;298;70;0
De Coquimbo;Canela;88;1;12;65;10;0
De Coquimbo;Los Vilos;300;2;57;209;32;0
De Coquimbo;Salamanca;392;1;81;259;51;0
De Coquimbo;Ovalle;1713;5;322;1137;249;0
De Coquimbo;Combarbalá;164;1;32;105;26;0
De Coquimbo;Monte Patria;427;2;90;264;71;0
De Coquimbo;Punitaqui;148;1;21;105;21;0
De Coquimbo;Río Hurtado;46;1;7;32;6;0
De Valparaíso;Valparaíso;3991;18;628;2710;634;1
De Valparaíso;Casablanca;327;3;54;225;45;0
De Valparaíso;Concón;506;1;57;338;110;0
De Valparaíso;Juan Fernández;6;0;2;4;0;0
De Valparaíso;Puchuncaví;195;0;26;137;32;0
De Valparaíso;Quintero;388;3;64;266;55;0
De Valparaíso;Viña del Mar;4203;20;509;2924;750;0
De Valparaíso;Isla de Pascua;82;1;4;64;13;0
De Valparaíso;Los Andes;998;6;157;686;149;0
De Valparaíso;Calle Larga;186;1;27;132;26;0
De Valparaíso;Rinconada;156;1;30;111;14;0
De Valparaíso;San Esteban;255;1;36;178;40;0
De Valparaíso;La Ligua;442;1;58;296;87;0
De Valparaíso;Cabildo;260;1;52;180;27;0
De Valparaíso;Papudo;73;0;8;51;14;0
De Valparaíso;Petorca;124;0;21;84;19;0
De Valparaíso;Zapallar;73;0;12;48;13;0
De Valparaíso;Quillota;1258;5;176;901;176;0
De Valparaíso;Calera;773;4;146;519;104;0
De Valparaíso;Hijuelas;238;3;40;167;28;0
De Valparaíso;La Cruz;231;0;20;187;24;0
De Valparaíso;Nogales;292;0;46;196;50;0
De Valparaíso;San Antonio;1307;6;224;875;202;0
De Valparaíso;Algarrobo;126;0;21;81;24;0
De Valparaíso;Cartagena;221;0;36;150;35;0
De Valparaíso;El Quisco;134;1;25;83;25;0
De Valparaíso;El Tabo;90;1;14;59;16;0
De Valparaíso;Santo Domingo;131;0;19;88;24;0
De Valparaíso;San Felipe;1166;6;175;825;160;0
De Valparaíso;Catemu;197;0;33;128;36;0
De Valparaíso;Llaillay;367;2;62;243;60;0
De Valparaíso;Panquehue;88;0;8;66;14;0
De Valparaíso;Putaendo;206;0;35;142;29;0
De Valparaíso;Santa María;270;2;37;204;27;0
De Valparaíso;Quilpué;1870;5;199;1341;325;0
De Valparaíso;Limache;592;1;91;409;91;0
De Valparaíso;Olmué;189;1;40;122;26;0
De Valparaíso;Villa Alemana;1557;5;218;1063;271;0
Metropolitana de Santiago;Santiago;4772;7;297;3510;958;0
Metropolitana de Santiago;Cerrillos;1184;9;162;829;184;0
Metropolitana de Santiago;Cerro Navia;2019;12;399;1331;276;1
Metropolitana de Santiago;Conchalí;1786;4;287;1231;264;0
Metropolitana de Santiago;El Bosque;2498;5;411;1728;354;0
Metropolitana de Santiago;Estación Central;1768;7;227;1250;284;0
Metropolitana de Santiago;Huechuraba;1567;5;180;1011;371;0
Metropolitana de Santiago;Independencia;1139;1;128;804;206;0
Metropolitana de Santiago;La Cisterna;1121;1;131;794;195;0
Metropolitana de Santiago;La Florida;4730;10;535;3312;873;0
Metropolitana de Santiago;La Granja;1923;4;331;1344;244;0
Metropolitana de Santiago;La Pintana;3274;15;636;2261;362;0
Metropolitana de Santiago;La Reina;1006;0;63;673;269;1
Metropolitana de Santiago;Las Condes;3702;1;100;2459;1141;1
Metropolitana de Santiago;Lo Barnechea;1300;4;104;809;383;0
Metropolitana de Santiago;Lo Espejo;1625;4;321;1123;177;0
Metropolitana de Santiago;Lo Prado;1428;6;228;944;249;1
Metropolitana de Santiago;Macul;1499;4;154;1052;289;0
Metropolitana de Santiago;Maipú;7252;23;919;5011;1299;0
Metropolitana de Santiago;Ñuñoa;2645;4;101;1820;720;0
Metropolitana de Santiago;Pedro Aguirre Cerda;1439;7;252;984;196;0
Metropolitana de Santiago;Peñalolén;3899;16;590;2538;755;0
Metropolitana de Santiago;Providencia;1897;1;34;1244;618;0
Metropolitana de Santiago;Pudahuel;3664;14;563;2524;561;2
Metropolitana de Santiago;Quilicura;3164;10;387;2145;622;0
Metropolitana de Santiago;Quinta Normal;1501;5;180;1075;241;0
Metropolitana de Santiago;Recoleta;2356;7;328;1611;409;1
Metropolitana de Santiago;Renca;2381;13;435;1626;307;0
Metropolitana de Santiago;San Joaquín;1154;5;168;801;180;0
Metropolitana de Santiago;San Miguel;1305;3;82;961;259;0
Metropolitana de Santiago;San Ramón;1445;11;255;979;200;0
Metropolitana de Santiago;Vitacura;1286;0;8;891;386;1
Metropolitana de Santiago;Puente Alto;8519;36;1323;5783;1377;0
Metropolitana de Santiago;Pirque;281;0;24;202;55;0
Metropolitana de Santiago;San José de Maipo;195;0;29;126;40;0
Metropolitana de Santiago;Colina;2054;11;303;1288;452;0
Metropolitana de Santiago;Lampa;1361;4;199;937;221;0
Metropolitana de Santiago;Tiltil;220;0;26;160;34;0
Metropolitana de Santiago;San Bernardo;4989;30;828;3382;748;1
Metropolitana de Santiago;Buin;1268;3;173;913;179;0
Metropolitana de Santiago;Calera de Tango;330;1;40;224;65;0
Metropolitana de Santiago;Paine;978;3;146;688;141;0
Metropolitana de Santiago;Melipilla;1786;8;273;1241;264;0
Metropolitana de Santiago;Alhué;117;0;26;70;21;0
Metropolitana de Santiago;Curacaví;386;1;56;273;56;0
Metropolitana de Santiago;María Pinto;138;1;23;97;17;0
Metropolitana de Santiago;San Pedro;114;0;16;75;23;0
Metropolitana de Santiago;Talagante;979;2;162;665;150;0
Metropolitana de Santiago;El Monte;539;3;89;381;66;0
Metropolitana de Santiago;Isla de Maipo;494;1;74;340;79;0
Metropolitana de Santiago;Padre Hurtado;705;2;115;487;101;0
Metropolitana de Santiago;Peñaflor;1233;6;195;796;236;0
Del Libertador B. O'Higgins;Rancagua;3823;19;588;2592;624;0
Del Libertador B. O'Higgins;Codegua;159;1;23;113;22;0
Del Libertador B. O'Higgins;Coinco;76;0;10;55;11;0
Del Libertador B. O'Higgins;Coltauco;251;3;55;155;38;0
Del Libertador B. O'Higgins;Doñihue;266;0;34;193;39;0
Del Libertador B. O'Higgins;Graneros;462;2;79;324;57;0
Del Libertador B. O'Higgins;Las Cabras;303;2;48;211;42;0
Del Libertador B. O'Higgins;Machalí;692;2;71;476;143;0
Del Libertador B. O'Higgins;Malloa;132;2;17;89;24;0
Del Libertador B. O'Higgins;Mostazal;321;3;70;206;42;0
Del Libertador B. O'Higgins;Olivar;190;1;27;135;27;0
Del Libertador B. O'Higgins;Peumo;190;0;31;131;28;0
Del Libertador B. O'Higgins;Pichidegua;204;2;35;129;38;0
Del Libertador B. O'Higgins;Quinta de Tilcoco;141;0;16;113;12;0
Del Libertador B. O'Higgins;Rengo;805;2;118;571;114;0
Del Libertador B. O'Higgins;Requínoa;355;1;74;212;68;0
Del Libertador B. O'Higgins;San Vicente;591;5;75;396;115;0
Del Libertador B. O'Higgins;Pichilemu;151;1;16;107;27;0
Del Libertador B. O'Higgins;La Estrella;22;0;4;11;7;0
Del Libertador B. O'Higgins;Litueche;58;0;7;34;17;0
Del Libertador B. O'Higgins;Marchihue;65;1;11;40;13;0
Del Libertador B. O'Higgins;Navidad;46;0;5;30;11;0
Del Libertador B. O'Higgins;Paredones;43;0;6;26;11;0
Del Libertador B. O'Higgins;San Fernando;1097;6;152;757;182;0
Del Libertador B. O'Higgins;Chépica;178;2;25;120;31;0
Del Libertador B. O'Higgins;Chimbarongo;432;2;75;286;69;0
Del Libertador B. O'Higgins;Lolol;69;0;8;45;16;0
Del Libertador B. O'Higgins;Nancagua;234;2;43;143;46;0
Del Libertador B. O'Higgins;Palmilla;146;0;29;93;24;0
Del Libertador B. O'Higgins;Peralillo;105;0;18;64;23;0
Del Libertador B. O'Higgins;Placilla;95;0;14;68;13;0
Del Libertador B. O'Higgins;Pumanque;27;0;2;20;5;0
Del Libertador B. O'Higgins;Santa Cruz;460;1;68;299;92;0
Del Maule;Talca;3041;9;430;2064;538;0
Del Maule;Constitución;706;2;138;465;101;0
Del Maule;Curepto;78;0;14;53;11;0
Del Maule;Empedrado;54;0;11;39;4;0
