Region;Comuna;Total; menos de 1.500 ;1.500 a 2.499 ;2.500 a 2.999;Mayor o igual 3.000 ;Ignorado
De Arica y Parinacota;Arica;3634;33;124;439;3021;17
De Arica y Parinacota;Camarones;1;0;0;0;1;0
De Arica y Parinacota;Putre;3;0;0;0;2;1
De Arica y Parinacota;General Lagos;2;0;0;0;2;0
De Tarapacá;Iquique;3530;34;168;512;2797;19
De Tarapacá;Alto Hospicio;1886;12;80;226;1552;16
De Tarapacá;Pozo Almonte;220;1;10;39;159;11
De Tarapacá;Camiña;17;0;2;4;7;4
De Tarapacá;Colchane;4;0;0;1;1;2
De Tarapacá;Huara;33;0;2;2;23;6
De Tarapacá;Pica;63;0;0;4;54;5
De Antofagasta;Antofagasta;6128;55;320;1162;4585;6
De Antofagasta;Mejillones;159;5;6;21;127;0
De Antofagasta;Sierra Gorda;15;0;3;3;9;0
De Antofagasta;Taltal;175;0;10;38;127;0
De Antofagasta;Calama;2893;31;211;741;1903;7
De Antofagasta;Ollagüe;0;0;0;0;0;0
De Antofagasta;San Pedro de Atacama;73;2;5;16;47;3
De Antofagasta;Tocopilla;436;4;27;58;347;0
De Antofagasta;María Elena;53;0;1;10;42;0
De Atacama;Copiapó;2871;30;157;501;2181;2
De Atacama;Caldera;284;5;15;49;215;0
De Atacama;Tierra Amarilla;225;2;8;41;174;0
De Atacama;Chañaral;249;3;7;33;206;0
De Atacama;Diego de Almagro;267;4;19;53;191;0
De Atacama;Vallenar;881;5;46;147;681;2
De Atacama;Alto del Carmen;76;0;1;11;63;1
De Atacama;Freirina;100;0;3;14;83;0
De Atacama;Huasco;163;3;4;20;136;0
De Coquimbo;La Serena;3246;38;149;513;2537;9
De Coquimbo;Coquimbo;3466;30;174;538;2719;5
De Coquimbo;Andacollo;180;3;9;28;140;0
De Coquimbo;La Higuera;68;0;2;12;54;0
De Coquimbo;Paiguano;49;0;3;12;34;0
De Coquimbo;Vicuña;409;6;21;58;319;5
De Coquimbo;Illapel;452;4;23;70;355;0
De Coquimbo;Canela;88;0;10;13;65;0
De Coquimbo;Los Vilos;300;1;15;43;241;0
De Coquimbo;Salamanca;392;6;19;67;299;1
De Coquimbo;Ovalle;1713;9;86;293;1324;1
De Coquimbo;Combarbalá;164;3;11;20;130;0
De Coquimbo;Monte Patria;427;1;22;68;336;0
De Coquimbo;Punitaqui;148;3;6;16;122;1
De Coquimbo;Río Hurtado;46;0;3;9;34;0
De Valparaíso;Valparaíso;3991;48;201;584;3147;11
De Valparaíso;Casablanca;327;5;20;50;251;1
De Valparaíso;Concón;506;4;22;86;393;1
De Valparaíso;Juan Fernández;6;0;0;0;6;0
De Valparaíso;Puchuncaví;195;3;10;30;152;0
De Valparaíso;Quintero;388;4;15;40;329;0
De Valparaíso;Viña del Mar;4203;40;200;660;3296;7
De Valparaíso;Isla de Pascua;82;0;3;14;65;0
De Valparaíso;Los Andes;998;15;50;170;763;0
De Valparaíso;Calle Larga;186;4;5;25;152;0
De Valparaíso;Rinconada;156;2;7;32;114;1
De Valparaíso;San Esteban;255;1;13;42;199;0
De Valparaíso;La Ligua;442;7;24;67;344;0
De Valparaíso;Cabildo;260;2;10;38;210;0
De Valparaíso;Papudo;73;2;3;9;59;0
De Valparaíso;Petorca;124;3;5;17;99;0
De Valparaíso;Zapallar;73;0;4;13;56;0
De Valparaíso;Quillota;1258;5;57;208;985;3
De Valparaíso;Calera;773;3;38;123;609;0
De Valparaíso;Hijuelas;238;1;7;36;194;0
De Valparaíso;La Cruz;231;3;15;41;172;0
De Valparaíso;Nogales;292;1;8;51;232;0
De Valparaíso;San Antonio;1307;13;66;219;1009;0
De Valparaíso;Algarrobo;126;1;9;17;99;0
De Valparaíso;Cartagena;221;3;13;36;169;0
De Valparaíso;El Quisco;134;1;6;18;108;1
De Valparaíso;El Tabo;90;0;2;13;74;1
De Valparaíso;Santo Domingo;131;2;6;24;99;0
De Valparaíso;San Felipe;1166;22;70;227;843;4
De Valparaíso;Catemu;197;3;7;44;142;1
De Valparaíso;Llaillay;367;4;20;58;284;1
De Valparaíso;Panquehue;88;0;1;12;75;0
De Valparaíso;Putaendo;206;2;17;40;146;1
De Valparaíso;Santa María;270;5;14;41;210;0
De Valparaíso;Quilpué;1870;14;109;308;1439;0
De Valparaíso;Limache;592;3;30;75;483;1
De Valparaíso;Olmué;189;2;9;21;156;1
De Valparaíso;Villa Alemana;1557;15;61;263;1216;2
Metropolitana de Santiago;Santiago;4772;51;264;792;3664;1
Metropolitana de Santiago;Cerrillos;1184;11;51;187;935;0
Metropolitana de Santiago;Cerro Navia;2019;16;111;292;1599;1
Metropolitana de Santiago;Conchalí;1786;26;82;303;1369;6
Metropolitana de Santiago;El Bosque;2498;34;121;410;1933;0
Metropolitana de Santiago;Estación Central;1768;18;111;294;1345;0
Metropolitana de Santiago;Huechuraba;1567;21;89;257;1196;4
Metropolitana de Santiago;Independencia;1139;15;56;175;891;2
Metropolitana de Santiago;La Cisterna;1121;10;55;211;845;0
Metropolitana de Santiago;La Florida;4730;60;251;790;3626;3
Metropolitana de Santiago;La Granja;1923;27;96;269;1531;0
Metropolitana de Santiago;La Pintana;3274;49;184;528;2513;0
Metropolitana de Santiago;La Reina;1006;9;46;192;758;1
Metropolitana de Santiago;Las Condes;3702;42;254;704;2699;3
Metropolitana de Santiago;Lo Barnechea;1300;15;74;266;945;0
Metropolitana de Santiago;Lo Espejo;1625;16;84;282;1243;0
Metropolitana de Santiago;Lo Prado;1428;15;78;226;1107;2
Metropolitana de Santiago;Macul;1499;13;77;251;1158;0
Metropolitana de Santiago;Maipú;7252;88;367;1186;5610;1
Metropolitana de Santiago;Ñuñoa;2645;35;166;464;1980;0
Metropolitana de Santiago;Pedro Aguirre Cerda;1439;15;68;246;1110;0
Metropolitana de Santiago;Peñalolén;3899;44;206;665;2983;1
Metropolitana de Santiago;Providencia;1897;22;110;350;1414;1
Metropolitana de Santiago;Pudahuel;3664;34;190;562;2875;3
Metropolitana de Santiago;Quilicura;3164;45;151;460;2503;5
Metropolitana de Santiago;Quinta Normal;1501;14;71;247;1167;2
Metropolitana de Santiago;Recoleta;2356;35;137;357;1824;3
Metropolitana de Santiago;Renca;2381;32;118;366;1856;9
Metropolitana de Santiago;San Joaquín;1154;13;66;200;875;0
Metropolitana de Santiago;San Miguel;1305;17;61;218;1008;1
Metropolitana de Santiago;San Ramón;1445;23;76;246;1100;0
Metropolitana de Santiago;Vitacura;1286;17;68;256;942;3
Metropolitana de Santiago;Puente Alto;8519;106;450;1442;6520;1
Metropolitana de Santiago;Pirque;281;5;13;58;205;0
Metropolitana de Santiago;San José de Maipo;195;2;10;32;151;0
Metropolitana de Santiago;Colina;2054;23;108;362;1555;6
Metropolitana de Santiago;Lampa;1361;10;66;197;1082;6
Metropolitana de Santiago;Tiltil;220;5;8;43;164;0
Metropolitana de Santiago;San Bernardo;4989;62;256;736;3933;2
Metropolitana de Santiago;Buin;1268;18;58;201;991;0
Metropolitana de Santiago;Calera de Tango;330;6;23;51;250;0
Metropolitana de Santiago;Paine;978;15;48;134;781;0
Metropolitana de Santiago;Melipilla;1786;24;96;327;1338;1
Metropolitana de Santiago;Alhué;117;0;5;17;95;0
Metropolitana de Santiago;Curacaví;386;3;16;64;303;0
Metropolitana de Santiago;María Pinto;138;1;5;21;111;0
Metropolitana de Santiago;San Pedro;114;0;5;21;88;0
Metropolitana de Santiago;Talagante;979;9;46;147;776;1
Metropolitana de Santiago;El Monte;539;9;23;89;415;3
Metropolitana de Santiago;Isla de Maipo;494;7;14;86;387;0
Metropolitana de Santiago;Padre Hurtado;705;8;40;113;544;0
Metropolitana de Santiago;Peñaflor;1233;13;52;217;951;0
Del Libertador B. O'Higgins;Rancagua;3823;42;178;648;2949;6
Del Libertador B. O'Higgins;Codegua;159;0;7;25;127;0
Del Libertador B. O'Higgins;Coinco;76;0;2;15;59;0
Del Libertador B. O'Higgins;Coltauco;251;2;12;34;203;0
Del Libertador B. O'Higgins;Doñihue;266;0;8;46;212;0
Del Libertador B. O'Higgins;Graneros;462;3;25;89;344;1
Del Libertador B. O'Higgins;Las Cabras;303;2;15;42;243;1
Del Libertador B. O'Higgins;Machalí;692;9;36;126;521;0
Del Libertador B. O'Higgins;Malloa;132;3;7;20;102;0
Del Libertador B. O'Higgins;Mostazal;321;2;11;62;246;0
Del Libertador B. O'Higgins;Olivar;190;2;6;29;152;1
